Hutsul,Ukrainian
Ийга,Овва!
Їроди,Маланки
Кагла,Отвір
Казання,Проповідь
Калюхатий,Череватий
Канапка,Бутерброд
Канатка,Вид Зачіски
Канейстра,Вуздечка Для Коня
Канона,Гармата
Кант,Кут Стола
Капарник,Грязнуля
Карук,Пластмаса
Касетка,Скринька
Катапулька,Метавка
Катафейка,Смертне Ложе
Кватирка,Чверть Літра
Кебета,Мізки
Китиця,Гуцульський Одяг
Кичери,Гори
Ківати,Трогати
Кізли,Крокви
Клуби,Стегна
Кльоц,Кусок Дерева
Клюб,Клуб
Клямка,Ручка Дверей
Кляса,Клас
Книглі,Кнедлики
Кобих,"Коли Б, Якщо Б"
Коварня,Порожнина
Колєйовий,Залізничний
Коліда,Коляда
Комарник,Пастуша Колиба
Комашня,Поминки
Комин,Димар
Костьол,Католицька Церква
Котики,Щиколотки
Коц,Вовняна Ковдра
Коц,Укривало
Кочело,Колесо
Кочерги,Кут Біля Печі
Кочєн,Качан
Кочіння,Пологи В Овець І Кіз
Кошара,Загорожа Для Відпочинку Овець
Кошіль,Кошик З Лози
Крак,Гілка
Криївка,Схованка
Крішка,Трішки
Нибогато,Небагато
Крутіж,Вир
Кукуц,Обрядова Булочка
Кулко,Кільце
Кутання,Порання
Кучма,Висока Бараняча Шапка
Кушіти,Куштувати Їжу
Падолист,Листопад
Пака,Великий Ящик
Паленєк,Згар
Пампушок,Пампух
Пана,Флейта
Папіроси,Цигарки
Парцеля,Невелика Ділянка Землі
Пасує,Личить
Патик,Прут
Патик,Шматок Дерева
Перепуджений,Переляканий
Перечитися,Сперечатись
П'єц,Піч
Пижик,Маршрутне Таксі
Пилипован,Старообрядець
Пирга,Потворна Людина
Пігулка,Таблетка
Підбивати,Готувати Їжу
Підпеньки,Опеньки
Пімзливий,Злопам'ятний
Пйоник,Пішак У Шахматах
Платинка,Хустинка
Плова,"Сильний Дощ, Злива"
Плянти,Бульвар
Пляц,Ділянка
Пляц,Земельний Наділ
Пляц,Майдан
Пляц,Місце
Пляц,Обійстя
Пляц,Площа
Поверх,Понад
Поєдинче,Роздільно
Поєдинче,Окремо
Покій,Кімната
Покушіти,Попробувати Їжу
Поливаний,Полудний
Поливаний,Полудований
Поліг,Скошена Трава
Полокати,Полоскати
Полокати,Полокати Білизну
Полубічок,Велика Бочка
Полупаний,Потрісканий
Помаранча,Апельсин
Помір,Велика Смертність
Помір,Пошесть
Помір,Мор
Поміст,Підлога
Порічки,Червона Смородина
Потахнути,Осісти
Потрафити,Зуміти
Прєтати,Збирати
Принежда,Лиха Погода
Приріхтувати,Підготувати
Присадиба,Земельна Присадибна Ділянка
Причандалля,Набір Дрібних Деталей
Пруг,Шов
Пруня,Слива-Венгерка
Пряшник,Веретено З Напрядженими Нитками
Пструг,Форель
Пуделко,Коробочка
Пукнути,Тріснути
Пукнути,Лопнути
Пульверок,Полувеєр
Пурець,Задавака
П'юрник,Пенал
Раташ,"Стежка, Витоптана Вівцями"
Рати,Частини
Ратуша,Будинок Міської Управи
Рахвочка,Полонинське Причандалля
Рахівка,Сувенірний Виріб З Дерева
Реверенда,Ряса
Рейтки,Штани Галіфе
Рестарація,Ресторан
Риж,Рис
Ринка,Низька Каструля
Рінь,Піскуватий Берег Річки
Ріпа,Картопля.
