Ukrainian,Hutsul
Ось ми його зараз…,Леда ми його зараз...
"Але це, звичайно, неможливо","Айбо циси, ашіш, гляба"
Чи що він думав?,Ци шо вин думав сми?
Чи людина щось може,Ци людьина шош годен.
тут тільки трохи ще..,Гир іно маленько шє..
Але я відаю її,Айбо йа свідім ї.
Людина нічого не може,Людьина нич ни годен.
Це зовсім добрий бінокль,"То файно, є чим фалитиси"
Все це так ясно..,Всьо цисе йо ага..
"Цікаво, як це сталося","Вере, єк цисе трафилося."
"Очевидно, треба звідси танцювати","Видко, тре вици данцувати."
"Через те, що сталося","Чіріз тото, шо трапилося."
Ось тут починається друга частина моєї розповіді,Леда гир зачінаї друга буката моєї повісти.
Але все це дурниці,Айбо всьо цисе бандиґі.
Його почало страшно нудити,Го зачєло пудно млоїти.
"Я подумав, що таки так","Йо подумав, шо прем йо."
Саме тут прийшла підмога,Ишє гірше помогнєтивси.
Внизу блищить каламутна вода,Понизше блишєт каламутна вада.
"Думаю, що саме мені","Гадкую, шо акурат мені."
Поки що це його мрія,Заків шо цисе го мрія.
Ближче вона чи далі,Більше уна чи оподаль.
"Одна хвиля, друга, третя…","Анна филя, друга, трета…"
"О, це хитрий дядько","АДЬИ, цисе хитрий вуйко."
Це ти той архітектор,Цисе тьи тамтой архитект.
Я давно тебе думаю,Й там тє гадкую.
Ось я повернуся додому,"Леда йа вернуси у хату, сміючіси."
Щоб все мені збулося,Абеси всьо мені віп'овчовало си
Але раніше він все-таки заговорить,Айбо давнійше вин всьо-прем заговорить.
"""Чи, може, він грає?""","Ци, годен, вин грає?"
Але той вітер догнав його тепер ось тут..,Айбо тамтой ледінь догнав го тіпер леда гир..
Він мав намір умерти,Вин мау інтенція споч'іти.
"Людина нічого не може!..""",Людьина нич ни годен!..
Тут щось не так,Гир шош не йо.
Він щось справді знає,Вин шош варе знаї.
"Йому справді здається, що це не він іде","Йиму варе отєк, шо цисе ни вин йдіт."
Але це таки остання,Айбо цисе прем послідна.
"Це все його книги""",Цисе всьо го книжєчькє.
"Там корова, свіже молоко","Генде джомба, свіже скором."
Так він думав раніше,"Йо, він гадав сми давнійше."
Я хочу бути коло тебе,Й багну абиде круглєк тє.
"Кажуть, хлопець один винен","Говорєт, хлопец оден видин."
Він ще може її побачити,Вин шє годен ї уздріти.
Колись поїду до неї,Колис поїду ід ню.
Миттю зійшлися до неї,Начис зійшлись ід ню.
Що він може сказати,Шо вин годен зговорити.
"Так, так, саме ""Він""","Йо, йо, акурат ""Вин""!"
"Але це, звичайно, сталося випадково","Айбо цисе, ашош, трафилося нипричком."
"Так, він обминав ім'я..","Йой, вин обминав менє.."
"""Звідки Микола все знає?""",Иків Микола всьо знаї?
Інакше не може бути,Инак ни годен абиде.
Треба йти від ями,Тре ити вид гелі.
Як це все страшно!.,Єк цисе всьо пудно!
Але ось що цікаве..,Айбо леда шо кортєчє..
Мені дуже хочеться закінчити писати,Міні моц кортить докінчіти шрайбати.
Що я поки що непотріб,Шо йа заків шо пометки.
"Він один, ти одна…","Вин оден, тьи онна..."
Сьогодні мамин день народження,Сьогодні мамин день народжіня.
Він не може цього!.,Вин не годен того!.
"Між іншим, мати дуже хочуть тебе побачити","Мижи іншим, неня моц хотє тє уздріти."
Це через тебе її,Ци си чіріз ти ї.
Навпростець це зовсім близько…,Напопереки цисе прем блиско...
Я таки справді інженер,"""ЙІ прем варе інджінір""."
"Цікаво, хто все-таки там грав","Вере, хьто всьо-прем генде грав."
Але вийти не може,Айбо війти ни годен.
Але не може бути,Айбо ни годен абиде.
Хто ти є: людина чи вівця,Хьто тьи буют: людьина ци вивцю.
"Аби скоріше до хати""",Би борше ид хату.
"хто знає, як краще","Хьто знаї, єк крашше."
"Ось тут, біля вікна","Леда гир, пілє вікна."
Він мені як батько,Вин мині єк татко.
Потім — якесь череп'я..,Витак — йкес черіп'є..
Але зараз йому треба йти,Айбо зараз йиму тре ити.
Щоб мав що втрачати,Абести мав шо терєти.
Я хочу тебе бачити..,ЙА багну тє пизнати..
"Певно, є якась причина","Ретенно, буют йкас причіна."
"Видно, що брати недавно зустрілися","Видко, шо братя оногди здібались."
"Це є сьогодні, зараз","Цисе буют сьогодні, зараз."
"А тепер ось ці, може, так само розстріляють його","А тіпер леда отсі, годен, йо само розстріляють го."
