Sentence,Count,Found Phrases,NumWords,ChangedWords,ChangedWordsPercentage
Ось ми його зараз…,4,ось|зараз|ми|його,4,4,100.0
"Але це, звичайно, неможливо",4,це|звичайно|неможливо|але,4,4,100.0
Чи що він думав?,4,він|чи|що|думав,4,4,100.0
Чи людина щось може,4,щось|чи|може|людина,4,4,100.0
тут тільки трохи ще..,4,тут|трохи|тільки|ще,4,4,100.0
Але я відаю її,4,відаю|її|я|але,4,4,100.0
Людина нічого не може,4,не може|нічого|може|людина,4,4,100.0
Це зовсім добрий бінокль,4,добрий|бінокль|зовсім|це,4,4,100.0
Все це так ясно..,4,все|ясно|це|так,4,4,100.0
"Цікаво, як це сталося",4,цікаво|як|це|сталося,4,4,100.0
"Очевидно, треба звідси танцювати",4,треба|очевидно|звідси|танцювати,4,4,100.0
"Через те, що сталося",4,через|те|сталося|що,4,4,100.0
Ось тут починається друга частина моєї розповіді,7,ось тут|починається|тут|частина|ось|друга|розповіді,7,7,100.0
Але все це дурниці,4,дурниці|але|все|це,4,4,100.0
Його почало страшно нудити,4,страшно|почало|нудити|його,4,4,100.0
"Я подумав, що таки так",5,так|що|таки|я|таки так,5,5,100.0
Саме тут прийшла підмога,4,тут|прийшла|підмога|саме,4,4,100.0
Внизу блищить каламутна вода,4,внизу|каламутна вода|вода|блищить,4,4,100.0
"Думаю, що саме мені",4,саме|мені|що|думаю,4,4,100.0
Поки що це його мрія,5,це|його|поки що|що|поки,5,5,100.0
Ближче вона чи далі,4,ближче|далі|вона|чи,4,4,100.0
"Одна хвиля, друга, третя…",4,хвиля|друга|третя|одна,4,4,100.0
"О, це хитрий дядько",4,о|це|хитрий|дядько,4,4,100.0
Це ти той архітектор,4,той|це|ти|архітектор,4,4,100.0
Я давно тебе думаю,4,думаю|давно|тебе|я,4,4,100.0
Ось я повернуся додому,4,ось|додому|я|повернуся,4,4,100.0
Щоб все мені збулося,4,збулося|все|щоб|мені,4,4,100.0
Але раніше він все-таки заговорить,5,все|але|таки|раніше|він,5,5,100.0
"""Чи, може, він грає?""",4,грає|чи|може|він,4,4,100.0
Але той вітер догнав його тепер ось тут..,8,ось|але|той|ось тут|вітер|тепер|тут|його,8,8,100.0
Він мав намір умерти,4,він|намір|умерти|мав,4,4,100.0
"Людина нічого не може!..""",4,може|нічого|людина|не може,4,4,100.0
Тут щось не так,4,щось|так|не так|тут,4,4,100.0
Він щось справді знає,4,знає|справді|він|щось,4,4,100.0
"Йому справді здається, що це не він іде",8,"здається, що|справді|що|йому|він|здається|це|іде",8,8,100.0
Але це таки остання,4,таки|остання|це|але,4,4,100.0
"Це все його книги""",4,книги|це|все|його,4,4,100.0
"Там корова, свіже молоко",4,корова|свіже молоко|там|молоко,4,4,100.0
Так він думав раніше,4,думав|так|раніше|він,4,4,100.0
Я хочу бути коло тебе,5,тебе|хочу|коло|бути|я,5,5,100.0
"Кажуть, хлопець один винен",4,кажуть|винен|один|хлопець,4,4,100.0
Він ще може її побачити,5,побачити|може|ще|він|її,5,5,100.0
Колись поїду до неї,4,колись|до неї|до|неї,4,4,100.0
Миттю зійшлися до неї,4,до неї|миттю|до|неї,4,4,100.0
Що він може сказати,4,сказати|може|що|він,4,4,100.0
"Так, так, саме ""Він""",4,"так|так, так|саме|він",4,4,100.0
"Але це, звичайно, сталося випадково",5,але|сталося|це|звичайно|випадково,5,5,100.0
"Так, він обминав ім'я..",4,я|так|він|ім'я,4,4,100.0
"""Звідки Микола все знає?""",4,знає|звідки|все|микола,4,4,100.0
Інакше не може бути,4,може|не може|бути|інакше,4,4,100.0
Треба йти від ями,4,йти|треба|ями|від,4,4,100.0
Як це все страшно!.,4,це|страшно|як|все,4,4,100.0
Але ось що цікаве..,4,ось|цікаве|що|але,4,4,100.0
Мені дуже хочеться закінчити писати,5,мені|хочеться|дуже|писати|закінчити,5,5,100.0
Що я поки що непотріб,5,я|поки що|поки|непотріб|що,5,5,100.0
"Він один, ти одна…",4,один|він|ти|одна,4,4,100.0
Сьогодні мамин день народження,4,сьогодні|день|народження|день народження,4,4,100.0
Він не може цього!.,4,не може|може|цього|він,4,4,100.0
"Між іншим, мати дуже хочуть тебе побачити",7,хочуть|мати|побачити|між|дуже|тебе|між іншим,7,7,100.0
Це через тебе її,4,через|це|тебе|її,4,4,100.0
Навпростець це зовсім близько…,4,зовсім|близько|навпростець|це,4,4,100.0
Я таки справді інженер,4,таки|інженер|справді|я,4,4,100.0
"Цікаво, хто все-таки там грав",5,цікаво|таки|там|все|хто,5,5,100.0
Але вийти не може,4,не може|вийти|може|але,4,4,100.0
Але не може бути,4,але|може|не може|бути,4,4,100.0
Хто ти є: людина чи вівця,6,вівця|людина|хто|чи|є|ти,6,6,100.0
"Аби скоріше до хати""",4,аби|скоріше|до хати|до,4,4,100.0
"хто знає, як краще",4,знає|краще|як|хто,4,4,100.0
"Ось тут, біля вікна",4,ось|ось тут|тут|біля,4,4,100.0
Він мені як батько,4,як|мені|він|батько,4,4,100.0
Потім — якесь череп'я..,4,я|якесь|потім|череп'я,4,4,100.0
Але зараз йому треба йти,5,зараз|але|треба|йому|йти,5,5,100.0
Щоб мав що втрачати,4,втрачати|що|щоб|мав,4,4,100.0
Я хочу тебе бачити..,4,тебе|я|бачити|хочу,4,4,100.0
"Певно, є якась причина",4,причина|певно|якась|є,4,4,100.0
"Видно, що брати недавно зустрілися",5,зустрілися|недавно|що|видно|брати,5,5,100.0
"Це є сьогодні, зараз",4,сьогодні|це|є|зараз,4,4,100.0
"А тепер ось ці, може, так само розстріляють його",8,ось|може|ось ці|так|його|так само|тепер|ці,9,8,88.88888888888889
"Адже те, що я кажу, розуміється саме собою",7,адже|я|саме|те|кажу|собою|що,8,7,87.5
"Рушниця, як дівка, — треба до неї приноровитися",7,до|до неї|неї|як|рушниця|треба|дівка,8,7,87.5
Але справа раптом повернулась до нього зовсім несподівано,7,раптом|справа|до|несподівано|але|до нього|зовсім,8,7,87.5
"Щасливий батько, весела мати, Настала згода, прийшло довір'я",7,щасливий|згода|я|батько|весела|мати|довір'я,8,7,87.5
Але від цього йому стало ще тяжче,6,тяжче|але|від|йому|цього|ще,7,6,85.71428571428571
"Може, вона має до нього якийсь жаль",6,може|вона|до|жаль|якийсь|до нього,7,6,85.71428571428571
"(Саме вони, ті, що прийшли до нього.)",6,ті|до|вони|саме|що|до нього,7,6,85.71428571428571
"Я думаю, що то збирається великий дощ",6,я|що|великий|збирається|думаю|дощ,7,6,85.71428571428571
"Він вибрав місце — ось тут, о",6,о|ось|ось тут|тут|він|місце,7,6,85.71428571428571
"Але ще краще, що ти вмієш думати",6,але|думати|краще|ще|ти|що,7,6,85.71428571428571
"Ну ніби лампочка, свічка або малесенький ліхтарик",6,малесенький|лампочка|ліхтарик|свічка|або|ніби,7,6,85.71428571428571
"Так, ніби те все від тебе залежить",6,ніби|від|так|все|тебе|те,7,6,85.71428571428571
"Що в тебе тут, жінка чи дитина",6,дитина|тут|тебе|що|чи|жінка,7,6,85.71428571428571
І вона не може до тебе прийти,6,прийти|може|вона|до|не може|тебе,7,6,85.71428571428571
Але ж це ми тільки тут так,6,тільки|тут|ми|так|але|це,7,6,85.71428571428571
"Я так і думав, що він там",6,там|я|він|що|думав|так,7,6,85.71428571428571
"Тільки вона вхопила, Микола зверху на неї..",6,микола|зверху|тільки|вона|неї|на неї,7,6,85.71428571428571
"Він все думав, що перебуває тут випадково..",6,тут|випадково|все|що|думав|він,7,6,85.71428571428571
"Я повторюю, що мені обов'язково треба розповісти",6,треба|що|мені|я|обов'язково|розповісти,7,6,85.71428571428571
"Сьогодні, завтра, через місяць — те саме",6,сьогодні|через|завтра|місяць|саме|те,7,6,85.71428571428571
"А може, і справді хто думав пограбувати",6,може|хто|справді|пограбувати|думав|а може,7,6,85.71428571428571
"Але це, може, тому, що боїться розправи",6,але|може|це|тому|що|боїться,7,6,85.71428571428571
"Ти хочеш сказати, що це ще небагато",6,сказати|ти|небагато|ще|це|що,7,6,85.71428571428571
"Мені здається, що він уже кається",5,"мені|він|здається, що|здається|що",6,5,83.33333333333334
Аж тут ще одна несподівана напасть,5,тут|напасть|ще|аж|одна,6,5,83.33333333333334
"Одна нога тут, а друга там",5,тут|нога|друга|там|одна,6,5,83.33333333333334
"Хоч мені здається, що воно чуже",5,"що|чуже|здається|мені|здається, що",6,5,83.33333333333334
Через якийсь час йому стало легше,5,через|йому|якийсь|легше|час,6,5,83.33333333333334
"ну, як так сказати, — норовистий..",5,як так|як|норовистий|сказати|так,6,5,83.33333333333334
"Тут щось вона, ця дівчина, переборщила""",5,ця|щось|вона|тут|дівчина,6,5,83.33333333333334
